,crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
2750,Wheat,Loamy,39,96,17.6,40.96,6.94,5.87,16.46,1.77,32.32,16.45,30.54,2.0,0.962,72.67,0.886,98.56,9,0.54,0,0.0
7487,Maize,Loamy,115,151,18.03,38.84,2.42,1.06,11.79,3.33,37.64,19.48,26.47,2.0,0.54,70.25,0.918,98.52,3,0.554,1,591.2903
5272,Maize,Clayey,27,324,23.52,41.14,3.97,3.55,5.7,3.73,36.55,19.97,30.98,2.0,0.835,89.34,1.114,132.75,8,0.551,0,0.0
5653,Wheat,Sandy,32,309,28.95,84.07,3.92,3.16,12.95,3.03,23.78,11.98,19.82,2.858,0.906,64.45,1.19,160.06,5,0.564,0,0.0
3999,Rice,Loamy,21,274,22.54,38.4,6.0,5.21,8.82,0.91,32.38,17.93,20.21,2.0,0.87,68.09,1.046,176.66,5,0.574,0,0.0
6033,Wheat,Clayey,52,202,18.45,40.28,3.72,1.63,20.16,4.44,36.36,24.8,27.74,2.225,1.028,62.22,0.821,113.75,6,0.557,1,414.0439
582,Wheat,Loamy,108,84,33.73,67.61,2.5,1.83,16.57,3.39,39.27,19.18,33.51,2.826,0.45,66.45,0.582,95.1,10,0.407,0,0.0
9930,Tomato,Silty,58,13,15.13,62.51,0.57,0.24,7.19,3.27,30.17,15.46,17.95,2.0,1.027,83.63,0.856,154.64,4,0.533,1,480.7332
7051,Wheat,Silty,13,95,36.42,30.25,1.04,0.55,24.03,3.77,34.01,13.58,23.41,3.332,0.614,72.03,0.807,174.09,5,0.542,1,521.0148
8158,Maize,Loamy,20,198,35.18,51.11,11.47,9.81,21.57,3.82,31.84,17.78,27.86,2.096,0.697,87.12,0.497,167.88,9,0.333,0,0.0
9896,Wheat,Silty,5,133,19.11,81.63,2.38,1.76,18.46,1.85,30.48,14.95,16.57,2.145,0.39,63.18,1.001,98.87,5,0.433,1,937.2992
2249,Maize,Loamy,117,191,17.14,89.75,1.38,0.94,21.53,0.56,36.26,16.1,28.61,2.511,0.54,88.36,0.337,166.62,4,0.437,0,0.0
4640,Wheat,Clayey,86,41,15.62,77.44,2.0,1.3,9.42,2.93,40.3,21.91,36.66,2.0,0.654,88.9,0.511,140.9,5,0.387,0,0.0
9485,Wheat,Sandy,99,257,33.45,57.61,4.44,3.19,21.1,3.57,21.42,8.59,18.91,3.569,0.511,70.78,0.746,124.79,3,0.358,0,0.0
4947,Rice,Silty,36,2,27.28,50.31,8.64,5.44,25.05,2.43,32.82,13.53,23.99,2.669,1.048,66.96,0.35,170.33,3,0.39,1,185.429
9920,Tomato,Loamy,70,244,30.86,54.28,4.2,2.62,23.84,1.76,38.37,16.62,20.33,2.451,0.933,77.67,0.32,170.36,8,0.328,1,295.8572
1963,Rice,Sandy,108,102,19.12,75.7,0.22,0.19,12.46,4.56,28.12,14.06,16.96,2.72,0.718,73.37,0.73,98.68,4,0.472,0,0.0
8243,Tomato,Clayey,73,134,22.53,91.65,0.58,0.54,18.88,3.87,35.68,21.89,34.1,2.0,0.91,78.17,0.741,126.92,6,0.567,0,0.0
6590,Wheat,Silty,110,209,15.66,78.62,0.16,0.13,16.64,0.8,34.08,12.24,23.98,2.0,0.45,64.22,0.922,171.4,9,0.558,0,0.0
8847,Wheat,Loamy,65,221,28.86,54.26,3.05,2.32,18.29,2.59,38.79,19.38,22.12,2.0,0.885,81.45,0.958,89.59,8,0.581,0,0.0
321,Maize,Loamy,77,292,23.8,59.99,2.69,1.75,8.1,1.94,39.71,19.76,33.92,2.0,0.963,87.11,1.138,80.65,4,0.48,0,0.0
2678,Tomato,Clayey,6,128,32.06,80.44,0.05,0.04,5.93,3.92,42.34,24.9,25.9,2.533,0.426,66.48,0.879,97.9,8,0.503,1,846.8897
4625,Wheat,Sandy,59,109,30.71,54.65,2.17,1.43,22.33,1.81,23.92,9.7,18.79,2.0,0.951,60.23,0.8,145.76,6,0.475,0,0.0
4949,Tomato,Loamy,73,200,36.75,65.78,3.88,3.02,16.8,2.96,38.4,15.15,37.2,2.66,0.91,65.04,0.767,139.7,3,0.406,0,0.0
8328,Maize,Silty,66,283,29.43,36.75,0.06,0.06,19.32,1.24,32.46,14.55,17.06,2.0,1.084,70.43,0.312,107.11,9,0.307,1,305.3289
3337,Rice,Loamy,48,83,19.52,85.82,7.95,5.87,29.56,3.16,39.2,18.78,27.29,2.0,1.144,74.52,0.406,88.23,7,0.56,1,288.8719
5589,Rice,Loamy,2,329,36.2,80.93,3.61,3.0,8.32,4.42,33.98,17.25,20.64,3.201,0.445,83.75,0.932,89.89,1,0.341,1,599.6386
251,Maize,Clayey,4,243,24.18,67.13,8.17,6.4,21.89,1.62,38.5,23.72,38.26,2.324,0.379,78.42,0.941,126.18,2,0.444,0,0.0
3973,Tomato,Loamy,115,276,15.77,81.2,3.75,1.9,24.91,0.74,33.28,15.0,18.97,2.674,0.63,84.08,0.957,81.07,2,0.338,1,603.1008
6630,Rice,Sandy,100,323,29.61,36.56,0.65,0.62,14.97,4.27,21.27,12.26,18.77,2.0,0.791,82.63,0.921,138.85,2,0.368,0,0.0
5547,Rice,Loamy,76,287,19.31,89.55,0.34,0.23,9.37,4.54,38.4,18.67,27.45,2.0,1.009,86.2,1.02,143.71,6,0.539,1,498.4297
35,Maize,Loamy,21,168,26.85,56.6,1.45,1.23,9.06,3.17,31.35,15.76,24.69,2.0,0.716,82.86,1.033,126.21,8,0.499,0,0.0
8362,Maize,Sandy,46,169,16.89,94.46,9.56,8.67,29.46,3.74,22.67,10.87,17.16,2.695,1.031,66.47,0.485,119.15,5,0.559,0,0.0
1513,Maize,Loamy,119,245,30.11,78.24,1.13,0.86,21.96,3.93,33.78,16.82,21.19,2.541,0.54,81.32,0.389,117.3,10,0.34,1,250.08
9317,Tomato,Sandy,85,85,17.04,91.86,3.13,1.9,27.02,2.54,24.93,14.23,17.72,2.613,0.817,64.01,0.817,161.25,3,0.529,1,350.065
39,Tomato,Clayey,26,142,17.11,94.5,1.2,0.82,23.51,4.84,38.89,24.8,31.21,2.622,0.832,73.93,1.194,94.4,9,0.501,1,513.4517
4819,Tomato,Sandy,105,348,26.57,51.54,7.28,7.17,11.98,4.0,26.71,11.66,24.32,2.0,0.63,81.59,0.793,160.02,2,0.591,0,0.0
3465,Rice,Clayey,74,353,21.86,50.96,3.01,2.4,8.53,0.8,37.35,18.77,35.97,2.0,1.027,87.15,1.186,90.81,3,0.566,0,0.0
1760,Wheat,Clayey,93,169,18.72,70.88,1.24,0.65,22.88,0.75,42.88,21.05,33.67,2.0,0.577,61.46,0.732,140.4,4,0.359,1,476.1512
2304,Maize,Loamy,45,246,32.9,53.21,3.85,2.83,13.71,4.09,39.02,19.12,31.51,2.125,1.022,66.11,1.038,106.75,4,0.48,0,0.0
3723,Wheat,Loamy,73,207,21.45,47.34,2.75,2.02,24.67,0.79,30.85,19.39,20.87,3.319,0.797,88.19,0.625,135.07,8,0.555,1,312.7574
8284,Wheat,Loamy,28,72,20.8,40.53,2.03,1.69,7.55,1.06,37.74,19.32,35.61,2.0,0.874,87.55,0.564,178.47,10,0.444,0,0.0
4993,Maize,Loamy,64,296,23.92,57.71,0.32,0.28,19.2,4.67,36.17,16.63,29.01,2.602,1.106,86.73,0.493,169.31,2,0.355,1,163.7608
8127,Rice,Silty,71,23,25.25,59.52,2.57,2.36,24.21,2.24,27.2,16.66,20.33,2.644,1.055,77.38,0.382,108.07,2,0.325,1,133.7345
3032,Tomato,Loamy,32,98,24.58,36.4,0.95,0.46,14.81,0.94,35.25,15.33,26.24,2.076,0.878,86.71,1.157,140.56,1,0.584,0,0.0
7938,Maize,Sandy,61,120,30.18,93.09,0.56,0.34,16.64,2.06,24.45,8.67,20.19,2.749,1.139,87.54,0.411,80.09,2,0.511,1,14.0231
3039,Tomato,Clayey,86,107,15.08,62.35,0.59,0.53,22.05,0.65,42.87,23.52,31.33,2.0,0.809,62.12,0.332,166.0,10,0.581,1,246.7844
9655,Rice,Loamy,98,57,18.13,39.73,3.97,3.73,26.49,4.8,38.42,16.06,19.81,2.018,0.809,66.61,1.09,149.13,4,0.467,0,0.0
2545,Maize,Loamy,79,147,20.52,73.63,0.22,0.21,12.05,4.89,34.07,15.9,25.51,2.466,0.941,68.88,1.176,157.34,8,0.491,1,570.8612
2592,Tomato,Silty,35,253,16.5,86.59,1.27,0.75,28.75,2.18,27.88,15.73,16.86,3.5,0.9,64.08,0.717,163.89,6,0.368,1,517.3164
1188,Tomato,Loamy,56,299,37.52,86.5,0.75,0.36,25.69,3.95,30.08,15.39,17.32,2.941,1.042,64.17,0.599,135.57,9,0.52,1,456.0617
7966,Wheat,Sandy,36,193,20.16,75.3,9.7,6.7,25.9,0.77,24.28,12.99,15.46,2.041,0.938,89.44,0.98,125.63,9,0.316,1,398.6861
6077,Rice,Sandy,18,184,24.33,47.94,0.54,0.22,12.41,1.67,21.62,14.89,18.52,2.566,0.803,84.52,0.52,150.38,8,0.561,0,0.0
107,Wheat,Clayey,17,175,21.67,87.93,1.27,0.52,26.23,4.49,36.21,18.03,23.1,2.548,0.726,80.92,0.807,175.61,3,0.456,1,550.6021
1315,Wheat,Sandy,110,342,19.71,36.03,9.08,8.51,10.0,1.38,21.82,11.91,18.18,2.55,0.45,77.08,0.558,162.13,7,0.579,0,0.0
8187,Wheat,Silty,69,68,31.47,68.73,1.36,0.56,11.63,0.65,31.14,14.55,23.22,2.0,0.841,62.25,0.317,112.84,10,0.506,1,158.9135
2753,Rice,Loamy,89,107,36.88,50.15,1.2,1.14,22.42,1.93,39.23,17.02,17.02,3.111,0.891,78.08,0.827,127.59,5,0.354,1,1051.0431
9753,Wheat,Silty,81,80,15.62,33.28,6.57,6.09,24.15,1.81,29.81,12.54,20.78,2.0,0.709,79.98,0.891,117.54,9,0.596,1,64.7512
6231,Tomato,Clayey,112,162,16.76,65.24,0.5,0.37,28.25,3.47,37.12,21.05,30.37,3.209,0.63,76.82,0.735,122.31,6,0.352,1,240.1031
2876,Rice,Sandy,81,135,27.14,91.96,2.24,1.12,21.71,3.98,24.93,13.03,21.17,2.0,0.964,85.21,1.041,129.12,2,0.523,0,0.0
5323,Rice,Sandy,15,336,31.07,75.5,0.73,0.39,18.08,2.21,27.93,10.97,20.08,2.004,0.736,75.38,1.022,102.39,4,0.426,1,375.0416
799,Tomato,Loamy,93,283,19.09,61.27,4.15,1.82,6.05,2.26,34.04,15.73,23.74,2.0,0.754,69.71,0.648,87.43,1,0.448,1,396.8599
3570,Tomato,Clayey,68,60,22.31,85.94,0.28,0.24,15.47,4.82,40.15,20.12,33.56,2.315,0.949,65.38,0.704,149.15,3,0.545,0,0.0
2894,Tomato,Silty,88,138,20.92,89.43,2.25,1.01,14.72,4.95,28.84,17.3,20.77,2.17,0.793,82.26,0.408,160.93,7,0.424,1,169.5226
2927,Rice,Sandy,37,302,18.13,31.98,0.41,0.36,17.65,2.73,24.36,9.36,24.05,2.0,1.056,61.53,0.908,167.58,10,0.35,0,0.0
8178,Tomato,Loamy,47,293,25.19,49.11,0.08,0.06,26.83,2.14,38.95,19.96,34.8,2.273,0.99,76.93,1.036,82.92,1,0.583,0,0.0
971,Tomato,Loamy,9,94,35.51,85.98,4.57,3.62,5.56,4.32,32.44,19.01,21.76,2.0,0.489,86.22,1.151,82.75,3,0.392,1,639.6048
6687,Wheat,Clayey,32,76,30.21,35.42,1.53,1.07,21.91,4.98,38.6,24.0,30.74,3.173,0.906,66.19,1.168,167.8,8,0.457,1,537.2106
8575,Wheat,Silty,95,169,34.07,36.29,8.97,4.93,14.38,4.06,28.9,16.27,19.13,3.388,0.555,77.31,0.893,173.35,4,0.428,1,414.1214
2020,Tomato,Sandy,83,242,33.47,49.77,3.32,2.87,26.52,2.41,29.84,10.55,12.89,3.227,0.832,87.83,0.941,111.36,5,0.419,0,0.0
9054,Tomato,Silty,13,296,25.98,35.8,0.03,0.02,20.18,3.45,30.14,12.3,29.42,3.443,0.573,69.79,0.622,97.18,6,0.45,0,0.0
952,Maize,Silty,110,116,24.49,60.95,2.55,1.76,12.37,1.21,26.96,14.37,16.52,2.0,0.6,71.97,0.415,149.55,6,0.47,0,0.0
5359,Maize,Silty,48,80,33.95,76.98,2.53,1.39,18.66,2.65,27.71,15.57,20.84,3.064,1.048,89.61,1.193,168.45,10,0.329,1,315.1038
3857,Tomato,Silty,3,182,29.03,71.92,1.0,0.81,23.39,2.13,25.06,14.78,22.36,2.73,0.363,65.26,0.852,81.14,8,0.506,0,0.0
5861,Wheat,Silty,24,348,37.67,80.7,4.92,2.56,6.71,4.69,33.17,17.64,29.26,2.379,0.842,62.02,0.579,132.33,6,0.516,1,19.2727
3145,Wheat,Silty,91,297,29.48,46.95,0.36,0.2,18.7,3.05,29.01,15.19,28.14,2.005,0.599,69.09,1.11,97.31,2,0.5,0,0.0
3305,Maize,Loamy,80,234,23.59,53.17,1.34,0.78,18.93,4.41,33.83,15.9,30.13,2.0,0.93,69.98,0.354,158.16,4,0.323,0,0.0
3006,Rice,Sandy,30,176,19.5,91.29,3.51,2.61,23.53,4.99,24.57,13.58,19.63,2.0,1.0,88.39,0.444,167.54,5,0.595,1,16.0098
9001,Wheat,Sandy,10,329,37.65,90.38,2.31,1.45,26.92,1.32,26.24,9.66,16.45,3.296,0.53,83.65,1.109,166.11,1,0.443,1,530.2867
7770,Wheat,Clayey,78,171,33.59,90.21,0.07,0.04,24.9,4.23,43.69,21.44,26.07,3.7,0.742,65.98,0.769,122.47,1,0.337,1,845.9634
7438,Maize,Loamy,72,10,21.44,49.23,3.78,2.0,16.7,4.17,33.3,16.71,29.83,2.0,1.018,88.01,0.909,156.62,10,0.514,0,0.0
7942,Rice,Loamy,78,355,29.8,82.67,0.51,0.31,21.01,1.84,35.34,16.99,22.53,2.743,0.991,68.95,0.608,90.78,5,0.435,1,450.0577
9238,Maize,Sandy,114,126,27.59,49.78,7.16,6.6,28.77,0.94,21.6,13.77,19.23,2.055,0.54,68.1,0.919,167.34,3,0.49,1,18.1017
1056,Wheat,Clayey,20,359,37.33,74.03,2.53,1.42,27.98,2.52,35.21,21.07,27.99,3.147,0.81,66.76,0.954,156.68,5,0.52,1,460.3991
3154,Tomato,Silty,119,244,26.51,32.69,1.14,0.76,6.81,3.28,29.91,14.75,19.19,2.605,0.63,78.09,0.849,101.79,3,0.377,1,483.574
3787,Maize,Clayey,43,255,19.28,54.59,2.05,0.95,12.73,4.58,39.88,19.42,26.21,2.003,1.005,82.37,0.811,123.3,9,0.571,1,566.8972
9189,Tomato,Sandy,32,306,18.13,60.56,3.66,3.49,7.44,0.66,21.41,9.58,13.85,2.0,0.878,84.05,0.791,93.16,7,0.562,1,327.1828
7825,Tomato,Clayey,63,303,30.22,56.99,2.74,1.54,14.39,2.01,38.1,22.46,25.56,2.825,0.988,76.82,0.735,84.2,8,0.382,1,486.4688
7539,Rice,Sandy,18,162,35.5,30.52,4.08,2.85,19.89,2.66,20.36,8.63,12.46,4.166,0.803,66.72,0.969,137.93,3,0.568,1,487.1164
7231,Wheat,Clayey,32,275,22.6,77.96,6.65,2.84,5.87,3.25,43.64,18.98,40.6,2.0,0.906,77.57,0.889,115.76,1,0.457,1,21.3879
764,Maize,Sandy,43,105,37.44,48.85,1.46,1.18,10.2,3.09,29.27,11.28,25.63,2.775,1.005,73.28,0.671,114.1,9,0.481,0,0.0
5019,Wheat,Silty,39,37,19.05,70.82,0.64,0.43,7.79,4.41,34.63,12.94,34.63,2.0,0.962,75.85,1.067,90.46,9,0.382,0,0.0
4903,Tomato,Clayey,102,145,28.75,73.36,0.64,0.59,10.57,3.37,35.41,21.15,26.69,2.0,0.63,85.45,0.385,92.8,10,0.552,1,145.3487
8093,Wheat,Loamy,72,220,26.54,90.11,3.25,1.3,7.09,1.33,35.97,15.26,27.81,2.0,0.808,66.61,0.357,115.68,5,0.369,0,0.0
6843,Maize,Silty,93,213,32.23,74.23,3.25,2.6,29.9,1.38,27.62,13.03,23.62,2.763,0.787,78.96,0.612,136.1,4,0.471,1,20.5268
2165,Tomato,Silty,43,305,15.47,31.39,2.33,1.16,8.79,3.12,30.5,13.14,24.33,2.0,0.96,60.08,0.684,144.41,4,0.549,0,0.0
1862,Tomato,Clayey,115,315,27.14,71.79,1.44,1.04,14.93,1.89,41.42,21.73,41.34,2.0,0.63,65.93,0.362,109.42,1,0.419,0,0.0
7850,Tomato,Loamy,38,83,27.42,94.75,1.16,0.87,25.31,0.72,39.99,18.45,32.96,2.451,0.922,89.77,1.028,95.08,4,0.454,0,0.0
9123,Maize,Loamy,50,338,24.4,45.25,5.73,2.29,27.19,2.29,32.18,16.56,20.97,2.0,1.065,66.71,1.095,147.46,5,0.511,0,0.0
2340,Rice,Loamy,43,352,36.44,82.51,11.43,6.81,15.87,1.05,36.53,17.37,23.9,3.331,1.104,80.61,0.649,157.73,10,0.46,1,405.5898
5527,Wheat,Loamy,46,310,23.75,32.93,3.79,3.23,21.8,0.93,37.4,15.1,31.91,2.296,1.018,61.77,1.056,152.22,4,0.48,0,0.0
6743,Tomato,Sandy,20,12,20.02,76.81,1.98,1.47,10.94,2.65,20.2,13.64,17.26,2.007,0.72,61.01,1.105,139.93,6,0.373,0,0.0
4003,Tomato,Sandy,103,164,19.07,46.36,1.8,1.14,6.02,4.2,20.39,14.61,17.56,2.0,0.63,72.21,0.787,113.8,1,0.418,1,143.5423
1123,Tomato,Clayey,59,47,30.94,75.19,0.64,0.46,27.96,1.53,37.38,22.34,30.72,2.345,1.019,80.24,0.892,166.5,1,0.42,1,310.1565
8709,Tomato,Loamy,87,157,16.47,58.13,6.47,3.52,28.91,2.01,30.46,16.71,30.46,2.479,0.801,70.93,0.443,134.3,4,0.3,0,0.0
4049,Wheat,Sandy,17,177,15.65,86.84,4.77,4.04,5.79,1.79,23.31,12.19,19.24,2.0,0.726,61.68,0.636,97.77,7,0.551,0,0.0
7640,Maize,Loamy,59,32,32.65,40.05,0.52,0.51,17.68,0.67,31.25,17.62,27.56,2.001,1.141,62.88,0.335,162.71,2,0.529,0,0.0
765,Tomato,Sandy,82,287,28.98,58.47,4.47,4.3,5.34,3.84,22.32,13.15,21.16,2.0,0.84,84.13,0.996,91.18,1,0.506,1,9.5691
2344,Maize,Silty,62,85,37.06,75.66,2.76,2.68,11.6,1.22,29.43,15.05,29.28,2.719,1.128,89.83,0.505,102.81,7,0.53,0,0.0
4071,Maize,Clayey,114,296,29.38,66.33,1.64,0.91,28.17,3.44,36.98,18.08,28.91,3.274,0.54,62.64,0.642,158.86,4,0.412,1,352.4882
7216,Maize,Loamy,42,351,20.99,54.53,1.18,0.75,11.61,1.04,34.02,16.19,22.93,2.0,0.997,69.15,0.773,142.1,6,0.403,0,0.0
4216,Rice,Silty,78,99,36.55,93.66,6.19,2.91,21.78,2.77,27.11,13.04,22.21,3.029,0.991,69.23,0.821,115.17,3,0.559,0,0.0
7952,Tomato,Silty,102,349,16.83,58.3,0.76,0.47,14.62,3.05,26.48,14.19,20.12,2.509,0.63,74.1,0.654,162.78,8,0.36,1,236.2937
5970,Maize,Clayey,115,16,34.17,66.8,4.87,4.15,27.41,1.68,42.76,21.49,35.21,3.156,0.54,79.95,0.91,174.51,6,0.479,0,0.0
3350,Wheat,Loamy,62,289,20.92,82.84,9.54,4.13,13.66,3.83,39.38,18.36,39.38,2.389,0.918,83.76,0.404,139.0,8,0.324,0,0.0
4695,Tomato,Loamy,62,256,28.77,49.99,4.62,2.78,5.78,4.17,39.06,16.8,21.11,2.073,0.996,75.9,1.169,145.97,4,0.561,1,1003.462
3399,Wheat,Loamy,29,253,36.8,32.4,2.38,1.75,5.77,2.58,36.37,16.22,30.75,2.0,0.882,73.54,1.191,178.42,3,0.467,0,0.0
4081,Rice,Loamy,61,174,20.12,47.13,3.48,1.88,25.28,1.68,39.12,15.18,34.17,2.0,1.145,60.5,0.486,101.1,9,0.328,0,0.0
9149,Tomato,Clayey,108,159,36.91,46.94,2.23,1.24,28.83,3.1,40.27,20.12,33.67,3.943,0.63,64.88,1.176,136.93,6,0.387,0,0.0
1224,Maize,Clayey,34,217,31.5,45.08,2.44,1.68,14.11,3.47,38.42,19.1,34.17,2.0,0.929,88.65,0.459,153.58,10,0.518,1,13.6017
6292,Rice,Sandy,104,203,26.88,79.92,0.43,0.22,15.98,2.87,22.41,9.88,18.79,2.001,0.755,71.05,0.861,137.26,5,0.499,0,0.0
3122,Rice,Clayey,105,60,32.13,83.41,4.17,1.67,6.58,3.57,40.03,21.68,26.65,3.037,0.745,85.08,1.16,128.01,2,0.51,1,721.9453
510,Maize,Sandy,42,101,32.49,38.7,6.51,4.97,27.71,2.71,29.2,14.01,18.84,3.215,0.997,70.31,0.499,160.04,10,0.377,1,262.2192
5794,Wheat,Loamy,2,10,19.32,94.06,0.63,0.58,20.43,4.79,37.43,18.67,35.84,2.0,0.306,78.54,1.117,121.46,1,0.445,0,0.0
8181,Wheat,Silty,43,355,24.95,67.92,6.66,2.91,13.0,1.59,33.7,17.8,32.27,2.391,0.994,86.0,0.455,160.91,3,0.332,1,5.1939
9417,Rice,Silty,91,231,25.09,84.11,0.41,0.26,29.79,3.42,27.83,14.86,21.81,2.144,0.873,60.15,0.865,96.77,5,0.416,1,383.3949
96,Rice,Sandy,55,332,30.65,30.47,10.22,7.99,22.63,4.19,27.97,9.14,21.17,2.315,1.2,75.18,0.389,146.78,9,0.456,0,0.0
6681,Rice,Silty,79,169,26.22,84.01,0.41,0.33,26.58,3.53,26.6,13.93,25.5,3.169,0.982,70.12,1.166,115.65,10,0.491,0,0.0
1512,Maize,Silty,39,130,28.96,83.5,2.35,1.77,9.82,2.58,30.3,17.1,26.17,2.122,0.971,83.43,0.354,146.4,10,0.354,0,0.0
8791,Wheat,Clayey,80,210,19.17,94.82,7.31,6.36,17.87,0.77,42.09,21.81,39.39,2.0,0.72,77.92,0.673,91.56,5,0.359,0,0.0
119,Maize,Clayey,16,75,35.3,34.14,6.15,4.72,13.04,4.53,35.69,23.02,32.57,2.764,0.617,84.29,0.811,175.51,5,0.483,0,0.0
7791,Rice,Sandy,101,22,22.69,85.27,0.84,0.75,16.34,1.62,21.16,10.3,18.46,2.0,0.782,74.02,0.533,159.73,3,0.571,0,0.0
6517,Rice,Silty,17,1,27.62,62.85,4.21,3.3,19.31,2.91,31.16,17.31,20.54,2.346,0.781,63.29,0.798,165.22,10,0.5,1,487.3099
33,Rice,Silty,38,364,29.82,81.51,3.4,2.51,13.29,0.66,26.69,15.55,26.17,2.0,1.064,82.46,0.851,145.24,3,0.351,0,0.0
7887,Rice,Sandy,90,71,23.84,67.37,6.95,3.71,23.59,1.53,22.97,10.42,17.97,2.0,0.882,71.62,0.582,160.12,8,0.347,1,171.4659
6830,Tomato,Silty,54,252,24.59,47.24,4.22,3.73,20.03,3.65,34.36,16.87,22.16,2.184,1.042,65.08,0.995,151.55,5,0.324,1,807.4616
5421,Tomato,Loamy,117,161,22.24,30.42,0.5,0.44,18.62,2.44,36.07,19.65,27.1,2.363,0.63,78.25,0.498,121.89,7,0.515,1,218.2637
1068,Maize,Loamy,9,210,15.09,46.08,0.73,0.52,14.04,2.84,37.67,16.84,35.01,2.0,0.478,88.15,0.576,175.7,1,0.371,0,0.0
1347,Tomato,Sandy,56,86,22.46,34.98,4.84,3.93,25.15,4.7,20.81,10.78,15.04,2.601,1.042,78.38,0.626,165.12,5,0.484,0,0.0
4747,Wheat,Loamy,4,93,28.38,64.43,2.94,1.7,16.6,4.1,38.05,19.34,28.83,2.033,0.362,64.78,0.824,95.51,8,0.369,1,452.6464
6005,Rice,Loamy,73,15,20.23,30.85,14.83,8.07,26.98,3.8,31.8,19.34,26.21,2.0,1.036,74.64,1.132,134.91,9,0.414,1,363.7016
6039,Maize,Clayey,13,78,25.76,38.07,1.24,0.85,17.95,4.48,35.08,18.09,25.87,2.0,0.558,83.55,1.184,160.6,10,0.561,1,572.3998
3817,Wheat,Loamy,96,363,26.8,78.8,0.34,0.15,27.29,2.84,34.36,17.23,30.3,3.132,0.544,77.52,0.735,103.33,6,0.565,0,0.0
8446,Wheat,Silty,98,277,36.83,49.45,1.95,1.44,23.53,3.74,28.15,14.7,26.35,2.8,0.522,65.41,0.845,90.47,2,0.376,0,0.0
5269,Tomato,Sandy,1,260,31.3,64.18,1.07,0.69,21.55,3.15,24.77,12.65,20.59,2.594,0.321,81.65,0.454,115.54,7,0.464,1,15.6349
6897,Rice,Loamy,98,23,21.14,31.78,0.37,0.32,12.82,3.14,33.28,16.4,23.06,2.584,0.809,76.25,0.382,165.98,4,0.527,1,214.2083
5309,Maize,Loamy,79,72,22.42,89.87,9.21,8.12,13.42,2.04,31.45,19.87,30.52,2.473,0.941,63.05,1.035,141.69,5,0.573,0,0.0
31,Maize,Clayey,118,216,18.41,38.4,1.65,1.54,8.24,0.85,38.17,22.71,30.31,2.0,0.54,81.73,0.393,104.19,2,0.59,0,0.0
5674,Wheat,Clayey,15,290,17.17,90.54,0.94,0.79,19.89,3.3,43.12,24.63,35.44,2.617,0.67,62.58,1.083,154.63,8,0.54,0,0.0
4386,Tomato,Loamy,68,238,22.62,83.04,2.96,2.52,25.92,0.59,33.61,15.75,27.73,3.041,0.949,78.28,0.818,141.17,5,0.489,0,0.0
